X	"Proposed"	"West-First"	"Negative-First"	"Odd-Even"	"XY"
"Uniform"	17.7972	19.4861	19.621	19.6927	20.4548
"Bitreverse"	19.1246	20.7601	21.9345	19.3791	24.316
"Complete"	23.6475	24.3029	25.303	25.2469	26.6197
"Transcope"	21.9711	23.2322	24.1865	26.5193	25.8285

