X	"Proposed"	"West-First"	"Negative-First"	"Odd-Even"	"XY"
"Fpppp"	1.01	0.95	0.94	0.96	1
"H264dh"	1.02	1.00	1.00	1.01	1
"Sample"	1.04	1.15	1.14	1.03	1
"Satell"	1.01	1.00	1.00	1.00	1

