X	"Proposed"	"West-First"	"Negative-First"	"Odd-Even"	"XY"
"Fpppp"	12.6404	13.5051	13.3914	13.4567	14.0925
"H264dh"	13.2766	14.6998	14.383	14.2674	17.2439
"Sample"	9.84775	10.2095	10.451	10.3712	10.7341
"Satell"	12.8232	13.5441	13.7645	13.5419	14.3899
		

