X	"Proposed"	"West-First"	"Negative-First"	"Odd-Even"	"XY"
"Fpppp"	14.5254	15.176	15.207	15.3087	15.4386
"H264dh"	15.8672	16.5722	16.3682	16.6467	17.2857
"Sample"	14.4925	14.8497	14.8108	14.9813	15.08
"Satell"	14.885	15.6922	15.756	15.7071	16.4255
		

