X	"Proposed"	"West-First"	"Negative-First"	"Odd-Even"	"XY"
"Fpppp"	0.12	0.24	0.40	0.45	1
"H264dh"	0.12	0.38	0.45	0.63	1
"Sample"	0.26	0.35	0.31	1.36	1
"Satell"	0.18	1.29	0.33	0.51	1

