X	"Proposed"	"West-First"	"Negative-First"	"Odd-Even"	"XY"
"Uniform"	19.6944	21.0115	21.211	21.3387	22.2032
"Bitreverse"	20.1043	21.0673	21.5553	20.2698	22.9738
"Complete"	24.8852	25.865	26.812	26.6614	28.5566
"Transcope"	22.6303	23.3018	23.473	24.5371	24.1999

