X	"Proposed"	"West-First"	"Negative-First"	"Odd-Even"	"XY"
"Uniform"	16.6022	18.6008	19.1772	18.6977	20.8635
"Bitreverse"	13.8455	16.9858	19.0514	13.9196	24.3547
"Complete"	18.9889	23.1329	24.8938	23.4346	28.6439
"Transcope"	19.5265	20.8511	21.8592	24.523	23.0727

