X	"Proposed"	"West-First"	"Negative-First"	"Odd-Even"	"XY"
"Fpppp"	17.6437	18.3235	18.6769	18.4341	19.4849
"H264dh"	16.7669	17.6987	17.6718	17.6867	18.8258
"Sample"	14.942	15.4142	15.5293	15.5255	15.8542
"Satell"	16.8153	17.5909	17.6428	17.6626	18.1551	
		

