X	"Proposed"	"West-First"	"Negative-First"	"Odd-Even"	"XY"
"Fpppp"	0.83	0.97	0.96	1.00	1.00
"H264dh"	0.73	0.83	0.89	0.98	1
"Sample"	0.79	0.90	0.98	0.97	1
"Satell"	0.87	1.01	0.96	1.00	1

